area;rooms;title;property_id;stratum;offer;garages;baths;price;property_type;location;location_main;new;longitude;latitude;localidadgenerada
51,99;3;Apartamento en Arriendo;7b987a75-dba8-4d17-b1ed-bd8a4bb55e25;Estrato 3;Arriendo;0;1;640000;Apartamento;POINT (-74.16205769999999 4.5878741);El ensueno;FALSO;-74,1620577;4,5878741;Localidad Ciudad Bolivar
90;2;Apartamento en Arriendo;e83fa7b7-27a4-4b46-bd0c-1e5b4e603446;Estrato 6;Arriendo;1;1;3700000;Apartamento;POINT (-74.0409961 4.7056364);NoIdentificado;FALSO;-74,0409961;4,7056364;Localidad Usaquén
45;1;Apartamento en Arriendo;7f8153d2-290b-412f-ab54-b1db6752cbec;Estrato 3;Arriendo;0;1;1200000;Apartamento;POINT (-74.072872097506 4.615391688123);NoIdentificado;FALSO;-74,0728721;4,615391688;Localidad Los Mártires
451;4;Apartamento en Arriendo;fad83a14-5bf8-4908-aeba-f62a028f20a6;Estrato 6;Arriendo;5;3;22000000;Apartamento;POINT (-74.044730008601 4.674509994068);Chico norte;FALSO;-74,04473001;4,674509994;Localidad Chapinero
39;2;Apartamento en Arriendo;f401a8f5-dabf-4e8b-957c-a21100af2de0;Estrato 2;Arriendo;0;1;800000;Apartamento;POINT (-74.1895227 4.6377681);NoIdentificado;FALSO;-74,1895227;4,6377681;Localidad Bosa
56;1;Apartamento en Arriendo;a60ca350-f1b3-436d-aad2-8523cc4f0d52;Estrato 6;Arriendo;1;1;4000000;Apartamento;POINT (-74.04377746582031 4.706236362457275);Plenitud;FALSO;-74,04377747;4,706236362;Localidad Usaquén
40;2;Apartamento en Arriendo;408c6fb7-6c82-42bb-9e7e-27c897c11f26;Estrato 2;Arriendo;0;1;1000000;Apartamento;POINT (-74.1224532 4.708797800000001);NoIdentificado;FALSO;-74,1224532;4,7087978;Localidad Engativá
87;3;Apartamento en Arriendo;b5d74b8a-17c0-4328-9397-4c42a0a7671c;Estrato 3;Arriendo;1;2;1800000;Apartamento;POINT (-74.12474161506347 4.581660318369841);Claret;FALSO;-74,12474162;4,581660318;Localidad Rafael Uribe Uribe
225;3;Apartamento en Arriendo;8fa58cda-01ac-4922-85cd-4fa7a8e13366;Estrato 6;Arriendo;1;3;9000000;Apartamento;POINT (-74.049 4.66);NoIdentificado;FALSO;-74,049;4,66;Localidad Chapinero
58;2;Apartamento en Arriendo;e69880a4-11ec-440a-85e1-0926eb2494ee;Estrato 3;Arriendo;0;1;1250000;Apartamento;POINT (-74.0947447 4.5941789);NoIdentificado;FALSO;-74,0947447;4,5941789;Localidad Los Mártires
105;2;Apartamento en Arriendo;eab404ba-a426-43cb-b685-d9dc7639ca76;Estrato 6;Arriendo;2;3;9500000;Apartamento;POINT (-74.0459320485348 4.680636850078585);NoIdentificado;FALSO;-74,04593205;4,68063685;Localidad Chapinero
74;2;Apartamento en Arriendo;26bd203d-dd70-4edd-92e6-d4a516003195;Estrato 6;Arriendo;2;2;3500000;Apartamento;POINT (-74.048974 4.6865097);NoIdentificado;FALSO;-74,048974;4,6865097;Localidad Usaquén
